Date de l'opération,Date d'inscription au compte,Description,Montant
"02/03/2010","02/03/2010","PAIEMENT CARTES CITI ENLIGNE ","-1,724.74"
"13/02/2010","17/02/2010","FERRONNERIE HOULE 0039 SAINT-JEAN-SU CAN ","29.34"
"14/02/2010","17/02/2010","PETROCAN 2525 GRANDQPC BOISBRIAND    CAN ","21.42"
"15/02/2010","17/02/2010","MAXI &amp; CIE #8958       ROSEMERE      CAN ","110.91"
"15/02/2010","17/02/2010","BETONEL#944          0 ST EUSTACHE   CAN ","43.13"
"15/02/2010","17/02/2010","C TELOSYSTEME/DISTRIBU MONTREAL      CAN ","23.08"
"16/02/2010","18/02/2010","RONA LE REGIONAL #0408 SAINT-JEAN-SU CAN ","26.68"
"17/02/2010","19/02/2010","SHELL 76 CHEMIN DESQBS SAINT-JEAN-S  CAN ","25.12"
"18/02/2010","19/02/2010","BUREAU EN GROS #308    BOISBRAND     CAN ","61.90"
"18/02/2010","19/02/2010","FUTURESHOP #677        BOISBRIAND    CAN ","33.85"
"18/02/2010","20/02/2010","IGA EXTRA 8548         BOISBRIAND    CAN ","58.87"
"19/02/2010","22/02/2010","SCORES BOUCHERVILLE    BOUCHERVILLE  CAN ","11.61"
"20/02/2010","22/02/2010","HOME DEPOT #7224       SAINT-JEAN-SU CAN ","66.51"
"20/02/2010","22/02/2010","JEAN COUTU #238    Q3J BOISBRIAND    CAN ","11.84"
"20/02/2010","24/02/2010","IGA SUPERMARCHES J DAI BOISBRIAND    CAN ","159.06"
"20/02/2010","22/02/2010","MAXI &amp; CIE 8678    QLC SAINT-JEAN-SU CAN ","43.66"
"20/02/2010","24/02/2010","FERRONNERIE HOULE 0039 SAINT-JEAN-SU CAN ","29.29"
"21/02/2010","23/02/2010","SHELL 76 CHEMIN DES PA SAINT-JEAN-S  CAN ","33.06"
"21/02/2010","24/02/2010","RONA LE REGIONAL #0408 SAINT-JEAN-SU CAN ","111.75"
"21/02/2010","24/02/2010","RONA LE REGIONAL #0408 SAINT-JEAN-SU CAN ","26.68"
"21/02/2010","23/02/2010","PETROCAN 2525 GRANDE A BOISBRIAND    CAN ","53.76"
"24/02/2010","26/02/2010","SHELL 76 CHEMIN DES PA SAINT-JEAN-S  CAN ","42.09"
"24/02/2010","26/02/2010","SUPERMARCHE DJS COUSIN LONGUEUIL     CAN ","11.89"
"26/02/2010","01/03/2010","SCORES BOUCHERVILLE    BOUCHERVILLE  CAN ","11.61"
"26/02/2010","01/03/2010","PETROCAN 2525 GRANDE A BOISBRIAND    CAN ","73.33"
"26/02/2010","01/03/2010","AFFAIRES PLUS        0 MARKHAM       CAN ","9.00"
"26/02/2010","02/03/2010","SUPER MARCHE LAPLANTE  SAINT-JEAN-SU CAN ","28.42"
"26/02/2010","01/03/2010","JOURNAL LES AFFAIRE  0 MARKHAM       CAN ","78.99"
"27/02/2010","01/03/2010","EGGSTYLE DEJEUNER      BOISBRIAND    CAN ","32.56"
"28/02/2010","04/03/2010","IGA EXTRA 8548         BOISBRIAND    CAN ","212.75"
"01/03/2010","03/03/2010","WAL-MART               ST. JEAN      CAN ","148.34"
"01/03/2010","03/03/2010","MAXI &amp; CIE 8678    QLC SAINT-JEAN-SU CAN ","45.32"
"01/03/2010","02/03/2010","STEAMPOWERED.COM       BELLEVUE      WA USD              11,24","12.17"
"02/03/2010","03/03/2010","ULTRAMAR           QPE LACHENAIE     CAN ","45.45"
"02/03/2010","04/03/2010","MAXI &amp; CIE 8678    QLC SAINT-JEAN-SU CAN ","46.40"
"03/03/2010","05/03/2010","ZELLERS  047           SAINT-JEAN-SU CAN ","17.97"
"03/03/2010","04/03/2010","DYNAMITE #71           SAINT-JEAN-SU CAN ","37.14"
"04/03/2010","06/03/2010","J P F FORMATION PROFES BOISBRIAND    CAN ","229.51"
"05/03/2010","09/03/2010","SHELL 76 CHEMIN DES PA SAINT-JEAN-S  CAN ","76.00"
"06/03/2010","08/03/2010","WAL-MART               ROSEMERE      CAN ","118.54"
"06/03/2010","10/03/2010","FERRONNERIE HOULE 0039 SAINT-JEAN-SU CAN ","20.19"
"06/03/2010","08/03/2010","PETROCAN 2525 GRANDQPC BOISBRIAND    CAN ","23.05"
"07/03/2010","10/03/2010","IGA GROUPE PRO 40 8113 SAINT-JEAN-SU CAN ","22.54"
"08/03/2010","09/03/2010","JEAN COUTU #238    Q3J BOISBRIAND    CAN ","277.17"
"09/03/2010","11/03/2010","SUPER C ST JEAN        ST JEAN       CAN ","71.82"
"10/03/2010","13/03/2010","PETROCAN 2525 GRANDE A BOISBRIAND    CAN ","56.19"
"11/03/2010","13/03/2010","SHELL 76 CHEMIN DES PA SAINT-JEAN-S  CAN ","56.05"
"11/03/2010","12/03/2010","CLIN.DENTAIRE L'ERABLI BOISBRIAND    CAN ","344.00"
"13/03/2010","16/03/2010","LIBRAIRIE CARCAJOU     ROSEMERE      CAN ","27.20"
"13/03/2010","17/03/2010","IGA EXTRA 8548         BOISBRIAND    CAN ","75.96"
"15/03/2010","17/03/2010","C TELOSYSTEME/DISTRIBU MONTREAL      CAN ","23.08"

La date a téléchargé:,"07/04/2010"
